bldg_id,geometry,centroid,closest
360681,"MULTIPOLYGON (((-87.63861582581028 41.8768835288668, -87.63862954795096 41.87731171408391, -87.63862947365244 41.87731857424649, -87.63863278870939 41.87735152523781, -87.63864161130762 41.87738450954502, -87.63865595631484 41.87741615513441, -87.63867582373838 41.87744646200398, -87.63870122844317 41.87747405811844, -87.63873033458385 41.87749893237027, -87.63876314216112 41.87752108475667, -87.63880150188145 41.87753915434482, -87.63881537390367 41.87795361917728, -87.63831590043753 41.8779615744205, -87.6383022546449 41.8775265290671, -87.63830228437853 41.87752378500235, -87.6382989694838 41.87749083400369, -87.63829013218121 41.87745922170438, -87.63827578734575 41.87742757607081, -87.63825590525013 41.8773986411658, -87.63823050076772 41.87737104495412, -87.63820138001107 41.87734754260936, -87.63816857271793 41.87732539006394, -87.63813019843543 41.87730869229839, -87.63811816675663 41.87689423848492, -87.63861582581028 41.8768835288668)))",POINT (-87.63846629103602 41.87742346840976),POINT (-87.639038 41.877136)
814815,"MULTIPOLYGON (((-87.62827214296063 41.8777123694952, -87.62826692605081 41.87751886826375, -87.62837527111381 41.87751678915502, -87.62861769321157 41.87751004429297, -87.62862289610551 41.87770491754637, -87.62827214296063 41.8777123694952)))",POINT (-87.62844516278386 41.87761170324346),POINT (-87.628784 41.877193)
365859,"MULTIPOLYGON (((-87.62952863841194 41.8729642999841, -87.62953462659992 41.87308782776353, -87.62929957922586 41.87309324767951, -87.62929360654739 41.87296834786056, -87.62952863841194 41.8729642999841)))",POINT (-87.62941389677802 41.87302843876296),POINT (-87.62988299999998 41.87295200000001)
843352,"MULTIPOLYGON (((-87.62522360273965 41.86700888965552, -87.625219999663 41.86706924091325, -87.62520711890892 41.867138590986, -87.62503929836987 41.86714222131703, -87.62502425424218 41.8668753875497, -87.62520707403114 41.86687651494769, -87.62521556129842 41.86693913615323, -87.62522360273965 41.86700888965552)))",POINT (-87.62512386927115 41.86700668461569),POINT (-87.625244 41.867039)
360459,"MULTIPOLYGON (((-87.6298203679553 41.87766697946825, -87.62981747876859 41.87759561142254, -87.63018291794828 41.877588244673, -87.63018583762248 41.87765686865278, -87.6298203679553 41.87766697946825)))",POINT (-87.63000045825501 41.87762695686894),POINT (-87.629913 41.878044)
814934,"MULTIPOLYGON (((-87.63079315177905 41.8733342830077, -87.63078901189903 41.87320939447924, -87.63114338163925 41.87320470115819, -87.63114755224441 41.87332684561666, -87.63079315177905 41.8733342830077)))",POINT (-87.63096761892226 41.87326882085753),POINT (-87.631012 41.872948)
366266,"MULTIPOLYGON (((-87.62702336968684 41.87257158544553, -87.62695726924575 41.87257255101643, -87.62685260391555 41.87257465143841, -87.62683235110093 41.87191316345334, -87.62711330151176 41.87190665874389, -87.62711319578962 41.87191626295694, -87.62715544675019 41.87191377852218, -87.62715925403975 41.87190145282359, -87.62722536888857 41.87189911510051, -87.62734810308996 41.8719231957577, -87.62734570877107 41.87197394960133, -87.62736004330336 41.8725064215384, -87.6272884056263 41.8725100975072, -87.62728960714034 41.87256773406708, -87.62702336968684 41.87257158544553)))",POINT (-87.62709444345613 41.87223569531723),POINT (-87.62759399999999 41.872108)
814250,"MULTIPOLYGON (((-87.62477114056894 41.88716668770768, -87.62476664643189 41.88690870148141, -87.62524045458547 41.88690339128363, -87.6252449657803 41.88716000548004, -87.62477114056894 41.88716668770768)))",POINT (-87.62500559140521 41.88703470100975),POINT (-87.62545799999999 41.887405)
814858,"MULTIPOLYGON (((-87.6308673550018 41.87644945551258, -87.63086630050029 41.87637809869911, -87.63119682216224 41.8763732593646, -87.63124455333129 41.87637355118193, -87.6312456232708 41.87644353596465, -87.63108954885557 41.87644532593408, -87.6308673550018 41.87644945551258)))",POINT (-87.63105557888825 41.87641078704289),POINT (-87.63104200000002 41.876339)
370218,"MULTIPOLYGON (((-87.62840218784636 41.86855150212522, -87.62841084307344 41.86910040488467, -87.62818501843174 41.86910313490654, -87.62817819672151 41.86872164253375, -87.62766782616541 41.86872536829875, -87.62766416032333 41.86855794663345, -87.62840218784636 41.86855150212522)))",POINT (-87.62814162642005 41.86875048677025),POINT (-87.628693 41.86871)
353205,"MULTIPOLYGON (((-87.62424975417895 41.88483223778042, -87.62426699350429 41.88559798722891, -87.62401356956576 41.88560053853391, -87.62399631809031 41.88483616109744, -87.62424975417895 41.88483223778042)))",POINT (-87.6241316964491 41.88521671984287),POINT (-87.624298 41.88486500000001)
814529,"MULTIPOLYGON (((-87.6366590601442 41.88259753913767, -87.63666287446108 41.88309152585136, -87.63640398234567 41.88309132710471, -87.63640566309621 41.88259874585484, -87.6366590601442 41.88259753913767)))",POINT (-87.63653295820266 41.8828456657431),POINT (-87.63681 41.883095)
371026,"MULTIPOLYGON (((-87.62898836774694 41.86766184578095, -87.62898773519163 41.86771947112498, -87.62869952125388 41.86772044739082, -87.62870015406803 41.86766282205038, -87.62898836774694 41.86766184578095)))",POINT (-87.62884394456691 41.86769114659108),POINT (-87.62866200000001 41.867863)
352506,"MULTIPOLYGON (((-87.63444026578335 41.88671139586642, -87.6341005552712 41.88671207213817, -87.63410034996154 41.88656250980147, -87.63430784501536 41.88656240091483, -87.63430908644166 41.88644852250336, -87.63409793451029 41.88644723700627, -87.63409768431518 41.88630179074988, -87.63442819720107 41.88630243062651, -87.63442815233824 41.88630654671393, -87.63442806261256 41.88631477888873, -87.63442862657385 41.8863304244907, -87.63444026578335 41.88671139586642)))",POINT (-87.63427984420753 41.88650839094716),POINT (-87.63458299999998 41.886509)
363575,"MULTIPOLYGON (((-87.63250301069168 41.87226349706677, -87.63255060864989 41.87412438656332, -87.63255858060477 41.87440297616441, -87.63252368620785 41.87440413535384, -87.63254936993594 41.87541417444908, -87.63177999510037 41.87542594248246, -87.63174655009277 41.87411947727342, -87.63174403399948 41.87401380843484, -87.63182850836381 41.87401158022506, -87.63179754886055 41.87281352763267, -87.63170391251617 41.87281432772471, -87.63169143760734 41.87227637917103, -87.631801609444 41.87227430797468, -87.63180334011973 41.87228392341034, -87.63244781986518 41.87227413723821, -87.63245159618428 41.87226455542118, -87.63250301069168 41.87226349706677)))",POINT (-87.63215046043545 41.87384930713954),POINT (-87.632172 41.873775)
359678,"MULTIPOLYGON (((-87.63737175100849 41.87817265183831, -87.63754515682915 41.87860454893432, -87.63749727508987 41.8786179800419, -87.6370602609971 41.87862219188258, -87.63704894002765 41.87831202365206, -87.63711335936605 41.87829732086872, -87.63708841671581 41.8782271914224, -87.63737175100849 41.87817265183831)))",POINT (-87.63726986324667 41.87842735477447),POINT (-87.63678 41.878853)
353896,"MULTIPOLYGON (((-87.63399213849705 41.88486728232006, -87.63399522706491 41.88492081382713, -87.63396950726239 41.88492202931628, -87.63396641871597 41.88486849780869, -87.63399213849705 41.88486728232006)))",POINT (-87.63398082288533 41.88489465582175),POINT (-87.63342299999999 41.884811)
358955,"MULTIPOLYGON (((-87.62789478695008 41.87913705877742, -87.62789349430859 41.87908765445807, -87.62821299961634 41.87908412818597, -87.62821054530238 41.8791403701039, -87.62797373030612 41.87913754368316, -87.62790029462603 41.87913709260981, -87.62789478695008 41.87913705877742)))",POINT (-87.62805647997928 41.87911216641974),POINT (-87.627655 41.878899)
370205,"MULTIPOLYGON (((-87.62998879985216 41.86866825569076, -87.62998661833868 41.86869980118629, -87.63014082328755 41.86869937336234, -87.63014499180801 41.86882151793584, -87.63002012604922 41.86882486969169, -87.63001895218454 41.86876448904062, -87.62990696578802 41.86876517529859, -87.62990500985761 41.8687761403116, -87.62973607482077 41.86878059394767, -87.62973804582552 41.86876825690583, -87.62963158125878 41.86876760460049, -87.629638291647 41.86882527493119, -87.62965846817356 41.86882677068274, -87.62966259063921 41.86895303135977, -87.62964239902536 41.86895290764055, -87.62964357253665 41.86901328829082, -87.62974641144119 41.86900980200103, -87.62974656189435 41.86899608168194, -87.62990997564906 41.86899296633774, -87.6299097951472 41.86900943072123, -87.6300254832548 41.86900602288237, -87.63002614498528 41.86894565347443, -87.63014733977668 41.86894227923539, -87.63015149328234 41.86906579583573, -87.63000091354218 41.86907036224652, -87.63000058266387 41.86910054694975, -87.62991244351177 41.86910275137971, -87.62991629522391 41.86908630948255, -87.62975288123157 41.86908942483389, -87.62975088012841 41.86910450593901, -87.62967191899324 41.86910676641219, -87.62967044451538 41.86907382640047, -87.62964105979233 41.86907501847755, -87.62964038264887 41.86913675991097, -87.62952105317761 41.86913740079761, -87.62951506528027 41.86901387293585, -87.62953158570684 41.86901397417935, -87.62952856164978 41.86895495431146, -87.62951204123843 41.86895485306764, -87.6295097396164 41.86882997566887, -87.62952440934792 41.86883143769546, -87.62952508659572 41.86876969626028, -87.62950856623206 41.86876959501632, -87.6295092284434 41.86870922561259, -87.62965982240881 41.86870328780805, -87.62966013839582 41.86867447513689, -87.62974093459233 41.86867222591331, -87.62973894854602 41.86868593498742, -87.62990416702088 41.86868557495504, -87.62990249688711 41.86867047135954, -87.62998879985216 41.86866825569076)))",POINT (-87.62979176482932 41.86889825743501),POINT (-87.62982199999998 41.86871)
362042,"MULTIPOLYGON (((-87.63197600141476 41.87680914145155, -87.63197564137249 41.87684207018812, -87.63155701259463 41.87684500126251, -87.63155553702492 41.87681206131044, -87.63164440305422 41.87681150662632, -87.63166853895379 41.87678695589477, -87.63169719285041 41.8767857588407, -87.63169753502568 41.87675447654252, -87.63185503383491 41.87675681081544, -87.6318554620773 41.87678480472656, -87.63188188897269 41.87678578941899, -87.63190990264292 41.87680956102744, -87.63197600141476 41.87680914145155)), ((-87.6319802067502 41.87692826734986, -87.63189867487783 41.87692969036337, -87.63187829769608 41.87694630579202, -87.63186139304806 41.87694757465854, -87.63185960929273 41.87697637833071, -87.6317049932473 41.87697900131595, -87.63170203092558 41.87694769882972, -87.63168183678665 41.87694757545002, -87.63166913605484 41.87693377662811, -87.63157254736012 41.87693538183815, -87.63157104176008 41.87690518594783, -87.63197871596005 41.87689669943271, -87.6319802067502 41.87692826734986)))",POINT (-87.6317743568837 41.876864847599),POINT (-87.63220200000001 41.877186)
365479,"MULTIPOLYGON (((-87.6290194633485 41.87335772198292, -87.62902633733772 41.8735676989601, -87.62876560298153 41.8735715881205, -87.62875874491444 41.87336023910382, -87.6290194633485 41.87335772198292)))",POINT (-87.628892395847 41.87346431786079),POINT (-87.62872299999999 41.873798)
358801,"MULTIPOLYGON (((-87.63359693320143 41.87884812356376, -87.63360675568789 41.87929412300831, -87.63288693363268 41.87930345605398, -87.63243336173068 41.87931029352819, -87.63242172651148 41.87886291081127, -87.63289181822276 41.8788561741377, -87.63359693320143 41.87884812356376)))",POINT (-87.63301436945579 41.87907845838327),POINT (-87.63336200000001 41.878872)
814602,"MULTIPOLYGON (((-87.62596924816839 41.88142763398076, -87.62535779888992 41.88143072666477, -87.62535732605056 41.88130723285791, -87.62596681713697 41.88131510508127, -87.62596924816839 41.88142763398076)))",POINT (-87.62565806767491 41.88137018984883),POINT (-87.62539699999998 41.881466)
814727,"MULTIPOLYGON (((-87.62991286892694 41.87877484847457, -87.63062519137996 41.8787792093916, -87.63061932894603 41.87931430099792, -87.62990700055154 41.87930993999949, -87.62991286892694 41.87877484847457)))",POINT (-87.63026609745204 41.87904457508789),POINT (-87.62994399999999 41.878895)
357799,"MULTIPOLYGON (((-87.62525609984459 41.88016500394901, -87.62484658353925 41.88017208307281, -87.6246133458524 41.88017750451395, -87.62459540696231 41.8796408943606, -87.62523815557741 41.87962839385352, -87.62525609984459 41.88016500394901)))",POINT (-87.62492576891533 41.87990272794315),POINT (-87.625366 41.879772)
814359,"MULTIPOLYGON (((-87.63494610449879 41.88561952134969, -87.63479736704994 41.88561998882186, -87.63478628273828 41.88512046957837, -87.63493500408552 41.8851213741413, -87.63494001728277 41.8853354554151, -87.63494610449879 41.88561952134969)))",POINT (-87.63486621622687 41.88537034203132),POINT (-87.634552 41.885662)
369957,"MULTIPOLYGON (((-87.63714268339947 41.86933616210713, -87.6371553242866 41.8693554484754, -87.63714057981133 41.86936084759145, -87.63716044407241 41.86939115474124, -87.63710700275352 41.86941004051287, -87.63707448275207 41.86936181901249, -87.63714268339947 41.86933616210713)))",POINT (-87.63711989505013 41.86937339213254),POINT (-87.63668800000001 41.869514)
814409,"MULTIPOLYGON (((-87.63741621520293 41.88507331957134, -87.63718488583376 41.88507054535954, -87.6371849900963 41.88506094114786, -87.63719548112968 41.88494025813616, -87.63744696204397 41.88494727080256, -87.63741621520293 41.88507331957134)))",POINT (-87.63731026204853 41.88500694160816),POINT (-87.636841 41.8848)
355731,"MULTIPOLYGON (((-87.6338032512852 41.88215207695268, -87.63382051938542 41.88275728751677, -87.63382714030719 41.88299196052721, -87.63374450513139 41.88299282926938, -87.63374058364376 41.88284736056161, -87.63372405963942 41.88284725989668, -87.63372137549821 41.88275668356159, -87.63371220556348 41.88241908592968, -87.63373240143389 41.88241920896533, -87.63372427418574 41.88215434008595, -87.6338032512852 41.88215207695268)), ((-87.63392809796889 41.88215283737699, -87.63393440503351 41.88241632303684, -87.633960123831 41.88241510754739, -87.6339719795622 41.88284328150168, -87.63394811155629 41.88284313614412, -87.63395201855194 41.88298997687829, -87.63387489139308 41.88299087925871, -87.63385280779755 41.88215375093208, -87.63392809796889 41.88215283737699)))",POINT (-87.63383914420871 41.8825821384893),POINT (-87.633392 41.882275)
371345,"MULTIPOLYGON (((-87.6278430659053 41.86714575776857, -87.6278442980535 41.86720065031576, -87.62763498495457 41.86720485282009, -87.62763360209026 41.86716368058935, -87.62764828648451 41.86716377082104, -87.62764843737655 41.8671500505037, -87.6278430659053 41.86714575776857)))",POINT (-87.62774077052823 41.86717572789485),POINT (-87.627533 41.867016)
365333,"MULTIPOLYGON (((-87.63349283387404 41.87341251191376, -87.63350395749175 41.87373914500365, -87.63311651160606 41.87374638818399, -87.63311343915869 41.87369148452743, -87.63313179654067 41.87369159645505, -87.6331219265101 41.87341848377578, -87.63349283387404 41.87341251191376)))",POINT (-87.63331152119584 41.87358011521658),POINT (-87.633301 41.873775)
366527,"MULTIPOLYGON (((-87.63154127065285 41.87224253065538, -87.63154753747504 41.87250876088017, -87.63118767949753 41.87251204977685, -87.63118324986493 41.87224583076744, -87.63154127065285 41.87224253065538)))",POINT (-87.63136493980718 41.87237740650947),POINT (-87.631012 41.872093)
815015,"MULTIPOLYGON (((-87.62603675894167 41.86831193008698, -87.62603258313958 41.86819115744497, -87.62661832903927 41.86817692580689, -87.62662249083191 41.86829907046751, -87.62603675894167 41.86831193008698)))",POINT (-87.62632809126876 41.86824475715858),POINT (-87.62640400000002 41.86787)
868622,"MULTIPOLYGON (((-87.62693006273813 41.88271181604598, -87.62637956223423 41.8827147402, -87.62637549109429 41.88258436366633, -87.62692819366708 41.88258145307562, -87.62693410192476 41.88271184089206, -87.62693006273813 41.88271181604598)))",POINT (-87.62665432949206 41.8826481240419),POINT (-87.62655600000002 41.882305)
359596,"MULTIPOLYGON (((-87.63468418371161 41.87864892488507, -87.63431144014422 41.87865214512351, -87.63430165765256 41.87820202955997, -87.63467438365909 41.87820018136431, -87.63467435376957 41.87820292542662, -87.63468418371161 41.87864892488507)))",POINT (-87.63449279935963 41.87842583468516),POINT (-87.634491 41.87801)
815091,"MULTIPOLYGON (((-87.62447369360871 41.87370845929981, -87.62510169689716 41.87369586843671, -87.62510682836908 41.87389623001117, -87.62448065886022 41.87390883221775, -87.62447369360871 41.87370845929981)))",POINT (-87.62479070540313 41.87380229895474),POINT (-87.62530500000003 41.873829)
359959,"MULTIPOLYGON (((-87.63943202611087 41.87814532757756, -87.63944201252835 41.87841020750405, -87.63833465260241 41.87843369794091, -87.638324670757 41.87816881795372, -87.63943202611087 41.87814532757756)))",POINT (-87.6388833405157 41.8782895128349),POINT (-87.639038 41.877995)
868402,"MULTIPOLYGON (((-87.63193984759418 41.87763054742945, -87.63190736409294 41.87704170861283, -87.63190588834013 41.87700876866499, -87.63199954580919 41.87700659642485, -87.63199801000411 41.87697914460027, -87.63249750620876 41.8769684727209, -87.63249714643219 41.87700140146023, -87.63252651975502 41.87700158071208, -87.6325463920345 41.87686311762663, -87.63258312359811 41.87686196964307, -87.63256325139822 41.8770004327355, -87.63258711722298 41.87700057836446, -87.63258854835934 41.87703763439873, -87.63263078752354 41.87703652000664, -87.63264605077343 41.87748804134731, -87.63257627361206 41.87748898771122, -87.63259418900039 41.87803382950624, -87.63195696482721 41.87804640495923, -87.63194315212499 41.87763056761194, -87.63193984759418 41.87763054742945)))",POINT (-87.63227279877337 41.87749239451317),POINT (-87.63220200000001 41.877186)
367720,"MULTIPOLYGON (((-87.6303714802836 41.87060117711567, -87.63037564931732 41.87072332164481, -87.63036094906674 41.87072460378734, -87.63036212326394 41.87078498441711, -87.63037315222051 41.87078367980246, -87.63037732126452 41.87090582432779, -87.63036262097209 41.87090710647016, -87.63036561579793 41.87096887036594, -87.63038031610446 41.87096758822329, -87.63038445510371 41.87109247680785, -87.63026143563059 41.87109446799542, -87.6302529339179 41.87103267038498, -87.63023089095003 41.87103390755777, -87.63023253114309 41.8710517552065, -87.62990205191214 41.87105521994777, -87.62990041181101 41.87103737229504, -87.62987469751361 41.87103858691196, -87.62988286860097 41.8714653673889, -87.62975616201157 41.87146870757265, -87.62974571975923 41.87091430567754, -87.62986870880783 41.87091505910281, -87.62987173324561 41.87097407894478, -87.62998006722097 41.87097199823467, -87.62997838197576 41.87095826667718, -87.63014729266132 41.87095655679319, -87.6301471422835 41.87097027710876, -87.63025362555241 41.8709695569323, -87.63025246649184 41.87090780427249, -87.63022676728805 41.87090764693713, -87.63022073280456 41.87078823523331, -87.63025564030124 41.87078570469657, -87.63025263055206 41.8707253128285, -87.63014064073204 41.87072599928795, -87.6301386697393 41.87073833633265, -87.62997159528082 41.87074005745092, -87.62996989500138 41.87072769792437, -87.62986891909075 41.87072845157335, -87.62987006273761 41.8707915762676, -87.62974522322551 41.87079218363096, -87.62974105538967 41.87067003908955, -87.62989344446395 41.87066822835646, -87.62989184950285 41.87064626460783, -87.63022228151904 41.87064691597453, -87.63022026543644 41.8706633691159, -87.6302496358432 41.87066354892809, -87.63024664113931 41.87060178502699, -87.6303714802836 41.87060117711567)))",POINT (-87.63003492111392 41.87095362160944),POINT (-87.629852 41.871254)
814691,"MULTIPOLYGON (((-87.62680971288709 41.87980272780607, -87.62680960709024 41.87981233200524, -87.62681213026302 41.87991662875658, -87.626301655501 41.87992171978617, -87.62630335876247 41.87960065385777, -87.62667236049521 41.87960429720651, -87.6266720044781 41.87980325262697, -87.62676932285409 41.87980247930897, -87.62680971288709 41.87980272780607)))",POINT (-87.62651699338163 41.8797730767333),POINT (-87.626526 41.879761)
814568,"MULTIPOLYGON (((-87.62488773759929 41.88176536955626, -87.62488704042269 41.88182848281692, -87.6250430976917 41.88182944543603, -87.62505217397525 41.88200513288813, -87.62466300837754 41.88199724352121, -87.6246600626601 41.881765336915, -87.62488773759929 41.88176536955626)))",POINT (-87.6248415233386 41.88189423116739),POINT (-87.62539699999998 41.882305)
362160,"MULTIPOLYGON (((-87.63057699542051 41.87647512150719, -87.630575749767 41.87675639895874, -87.63019144382513 41.87647550576914, -87.63057699542051 41.87647512150719)))",POINT (-87.63044806300422 41.87656900874503),POINT (-87.629913 41.876343)
354886,"MULTIPOLYGON (((-87.62932823305898 41.88369718100993, -87.62933240061508 41.88381932529084, -87.62900181036454 41.88382690301437, -87.62899764343798 41.88370475872643, -87.62932823305898 41.88369718100993)))",POINT (-87.62916502187149 41.88376204202973),POINT (-87.628845 41.883991)
814271,"MULTIPOLYGON (((-87.63444026578335 41.88671139586642, -87.63442862657385 41.8863304244907, -87.63442806261256 41.88631477888873, -87.63442815233824 41.88630654671393, -87.63442819720107 41.88630243062651, -87.63468343001468 41.8863026115848, -87.63468264744479 41.88671149861652, -87.63444026578335 41.88671139586642)))",POINT (-87.63455850085174 41.88650517022936),POINT (-87.63458299999998 41.886509)
362673,"MULTIPOLYGON (((-87.6335289858678 41.87615697789821, -87.63353275699116 41.87631616708796, -87.63316368362533 41.87632077810963, -87.63315991341797 41.87616158891487, -87.6335289858678 41.87615697789821)))",POINT (-87.63334633497759 41.87623887803557),POINT (-87.63333100000001 41.876328)
361899,"MULTIPOLYGON (((-87.62556322100205 41.87662545100292, -87.62557683677147 41.87688898236303, -87.62521135581026 41.87690045056841, -87.6252059967034 41.87672066952942, -87.62534005712529 41.87671737972228, -87.62533547342696 41.87663365201396, -87.62556322100205 41.87662545100292)))",POINT (-87.62540433660557 41.87677493324886),POINT (-87.625336 41.876373)
814246,"MULTIPOLYGON (((-87.62477218829979 41.8872380443928, -87.62477114056894 41.88716668770768, -87.6252449657803 41.88716000548004, -87.62524599888728 41.88723273419119, -87.62477218829979 41.8872380443928)))",POINT (-87.62500932511254 41.88719935799337),POINT (-87.62545799999999 41.887405)
353973,"MULTIPOLYGON (((-87.63396540564528 41.88479302501248, -87.63399294648956 41.88479319273447, -87.63399234797689 41.88484807390907, -87.63396480710905 41.88484790618676, -87.63396540564528 41.88479302501248)))",POINT (-87.63397887680514 41.88482054946461),POINT (-87.63342299999999 41.884811)
353757,"MULTIPOLYGON (((-87.62541369451985 41.88501642233096, -87.62529615642885 41.88501844194327, -87.62528587635421 41.8846190915812, -87.62540157766537 41.8846170606551, -87.62540443185222 41.88469117274337, -87.62541369451985 41.88501642233096)))",POINT (-87.62534949010916 41.88481816560368),POINT (-87.625427 41.884861)
364630,"MULTIPOLYGON (((-87.62484536748838 41.87413199453006, -87.62484826619126 41.87420199067072, -87.62510352627132 41.8741953324048, -87.62511292002051 41.87434220746328, -87.62448304432891 41.87435753106474, -87.62447257431342 41.87414204317962, -87.62484536748838 41.87413199453006)))",POINT (-87.62476482423804 41.8742536311071),POINT (-87.62530500000003 41.873829)
358766,"MULTIPOLYGON (((-87.63139019903701 41.87883465643965, -87.63139407002528 41.87898424137639, -87.63133163478373 41.87898523185715, -87.63133689103351 41.87917598891181, -87.63140299824965 41.87917502087257, -87.63140689930795 41.8793218617406, -87.63094783452694 41.87932728765095, -87.63093664539726 41.87884011599691, -87.63139019903701 41.87883465643965)))",POINT (-87.63115895170293 41.87908165304054),POINT (-87.631073 41.878895)
