id,MEAN_AVGHT,Lat,Lon,Electricity [GJ],Natural Gas [GJ],area_total,elec_per_area_total,elec_total,run,energy,gas,energy_total
131,52.82,41.872078,-87.633301,7051.99,838.52,16993.83,414.97,7051.99,,,,
132,35.93,41.872093,-87.631012,4831.44,609.29,11906.07,405.8,4831.44,,,,
133,8.22,41.872085999999996,-87.632141,469.49,40.73,403.84,1162.58,469.49,,,,
141,32.22,41.872108000000004,-87.62759399999999,12601.11,7953.7,40090.55,314.32,12601.11,,,,
153,8.75,41.87294,-87.632141,268.67,40.29,111.81,2402.88,268.67,,,,
154,31.83,41.872078,-87.633301,7889.76,4708.74,20725.71,380.68,7889.76,,,,
173,12.24,41.872101,-87.629852,3266.96,497.6,8670.61,376.79,3266.96,993.0,884950.0,129254.0,1014204.0
197,16.87,41.872966999999996,-87.62759399999999,1095.88,59.74,1687.97,649.23,1095.88,,,,
204,10.54,41.872971,-87.626465,3521.19,594.28,9716.95,362.38,3521.19,,,,
211,46.53,41.872128000000004,-87.62530500000004,61986.23,14745.31,213532.77,290.29,61986.23,,,,
220,42.44,41.87295200000001,-87.62988299999998,6630.95,733.44,15853.6,418.26,6630.95,993.0,1757605.0,210072.0,1967677.0
257,20.9,41.872948,-87.631012,2994.43,305.63,6776.35,441.89,2994.43,,,,
273,5.38,41.872971,-87.626465,1741.6,304.57,4714.76,369.39,1741.6,,,,
305,28.87,41.872955,-87.628723,8720.5,5800.97,23923.18,364.52,8720.5,993.0,23.0,23.0,46.0
323,9.17,41.873795,-87.631012,1543.63,195.35,3632.11,425.0,1543.63,993.0,409319.0,55372.0,464691.0
419,31.19,41.872105,-87.628723,17567.75,11747.37,59710.8,294.21,17567.75,991.0,5317738.0,1424760.0,6742498.0
419,31.19,41.872105,-87.628723,17567.75,11747.37,59710.8,294.21,17567.75,993.0,23.0,23.0,46.0
599,13.28,41.873814,-87.626465,3909.76,526.65,9866.64,396.26,3909.76,,,,
603,43.17,41.872982,-87.62530500000004,46284.93,31190.12,177629.75,260.57,46284.93,,,,
620,24.34,41.872046999999995,-87.638977,103689.22,62617.72,414615.57,250.09,103689.22,,,,
643,13.18,41.874607,-87.636719,360.92,40.31,181.54,1988.13,360.92,,,,
655,53.52,41.872925,-87.633301,32419.16,23308.77,119167.37,272.05,32419.16,,,,
656,35.78,41.873775,-87.633301,7602.64,4519.49,19623.22,387.43,7602.64,,,,
657,5.35,41.873795,-87.631012,808.31,84.56,1561.25,517.73,808.31,993.0,24.0,24.0,48.0
661,28.21,41.873795,-87.631012,8514.32,5026.35,23262.74,366.01,8514.32,993.0,23.0,23.0,46.0
665,38.79,41.872093,-87.631012,27652.57,19434.84,100071.74,276.33,27652.57,993.0,9314948.0,1477202.0,10792150.0
668,30.01,41.872101,-87.629852,20650.87,14411.71,71988.57,286.86,20650.87,993.0,23.0,23.0,46.0
668,30.01,41.872101,-87.629852,20650.87,14411.71,71988.57,286.86,20650.87,994.0,23.0,23.0,46.0
671,74.59,41.873798,-87.62988299999998,14580.39,11854.28,46857.05,311.17,14580.39,993.0,24.0,24.0,48.0
675,15.67,41.873798,-87.628723,7799.9,1014.7,19644.48,397.05,7799.9,993.0,2051070.0,282519.0,2333589.0
998,51.04,41.874638,-87.63104200000002,,,,,,993.0,1802573.0,237953.0,2040526.0
1449,30.61,41.875481,-87.633301,3787.81,1712.59,4516.65,838.63,3787.81,,,,
1498,27.24,41.874657,-87.628754,7202.24,4035.42,17981.29,400.54,7202.24,993.0,23.0,23.0,46.0
1534,42.51,41.874649,-87.62988299999998,12240.3,8116.18,38326.57,319.37,12240.3,993.0,3736316.0,575427.0,4311743.0
1574,49.22,41.874638,-87.63104200000002,9792.82,6556.41,28472.35,343.94,9792.82,993.0,2889751.0,417932.0,3307683.0
1580,36.29,41.874649,-87.62988299999998,9188.91,6134.79,25880.84,355.05,9188.91,993.0,2676784.0,360099.0,3036883.0
1586,26.71,41.874657,-87.628754,7314.34,4436.8,18288.3,399.95,7314.34,993.0,23.0,23.0,46.0
1609,52.82,41.874664,-87.627625,13670.21,9435.1,44058.03,310.28,13670.21,993.0,4319978.0,661630.0,4981608.0
1623,38.41,41.874638,-87.63104200000002,22685.22,14152.63,81355.63,278.84,22685.22,,,,
1697,13.73,41.87546500000001,-87.63559000000002,377.34,40.47,241.89,1560.01,377.34,,,,
1700,17.49,41.874598999999996,-87.637878,12644.61,2827.15,40048.93,315.73,12644.61,,,,
1709,39.88,41.874664,-87.627625,21231.97,13616.92,75127.34,282.61,21231.97,,,,
1755,26.26,41.875515,-87.626465,8059.34,4472.73,21690.6,371.56,8059.34,,,,
1779,28.02,41.874676,-87.625336,24884.15,17061.92,90214.74,275.83,24884.15,,,,
2248,5.51,41.875492,-87.62988299999998,499.62,46.94,668.45,747.44,499.62,993.0,24.0,24.0,48.0
2251,30.13,41.875515,-87.626465,6142.33,3487.63,13851.12,443.45,6142.33,,,,
2726,9.2,41.875481,-87.633301,2750.46,439.47,7364.05,373.5,2750.46,,,,
2861,16.94,41.876305,-87.636749,5004.31,885.24,14018.56,356.98,5004.31,,,,
2868,6.75,41.876369,-87.62649499999998,1330.04,128.46,2754.89,482.79,1330.04,,,,
3225,55.49,41.874598999999996,-87.637878,27372.67,23032.94,97337.06,281.22,27372.67,,,,
3283,8.17,41.876328,-87.63333100000001,860.44,83.06,1638.39,525.18,860.44,,,,
3296,24.53,41.875492,-87.62988299999998,13954.09,2576.64,40644.52,343.32,13954.09,993.0,23.0,23.0,46.0
3346,141.68,41.87632,-87.63446,26649.74,22378.91,96267.38,276.83,26649.74,,,,
3353,28.73,41.87632,-87.63446,5530.27,2922.14,11330.45,488.09,5530.27,,,,
3363,17.47,41.876328,-87.63333100000001,3706.41,529.99,9498.55,390.21,3706.41,,,,
3372,39.43,41.875484,-87.632172,14711.37,9809.86,48280.9,304.7,14711.37,,,,
3375,11.93,41.876339,-87.63104200000002,4530.87,761.92,12591.04,359.85,4530.87,993.0,1236930.0,191041.0,1427971.0
3416,54.5,41.87549600000001,-87.628754,13583.47,10301.16,43130.38,314.94,13583.47,993.0,24.0,24.0,48.0
3421,47.61,41.87549600000001,-87.628754,32669.8,20564.43,121960.34,267.87,32669.8,993.0,10738742.0,1996610.0,12735352.0
3476,38.81,41.875507,-87.627625,21351.15,13661.65,75573.74,282.52,21351.15,,,,
3500,16.63,41.876343,-87.629913,,,,,,993.0,564212.0,55690.0,619902.0
3507,69.15,41.876373,-87.625336,,,,,,,,,
3518,47.46,41.875526,-87.625336,48064.5,31439.04,184934.75,259.9,48064.5,,,,
3553,9.89,41.877209,-87.62649499999998,603.34,40.38,312.69,1929.51,603.34,,,,
3684,9.43,41.877186,-87.632202,1038.93,44.59,1246.94,833.18,1038.93,,,,
3713,10.69,41.877193,-87.628784,2957.76,243.4,6121.09,483.21,2957.76,993.0,738725.0,85060.0,823785.0
3718,8.36,41.877209,-87.62649499999998,505.2,40.82,411.92,1226.45,505.2,,,,
3932,46.8,41.877167,-87.63446,7550.53,5369.05,19327.27,390.67,7550.53,,,,
4958,129.83,41.877151,-87.636749,48912.15,40518.3,186219.86,262.66,48912.15,,,,
5089,84.03,41.877136,-87.639038,,,,,,,,,
5099,52.68,41.877205,-87.627625,24654.49,16486.03,88732.3,277.85,24654.49,,,,
5100,108.53,41.877151,-87.636749,17063.91,14469.34,56739.87,300.74,17063.91,,,,
5108,49.34,41.878009999999996,-87.634491,8564.06,5717.44,23463.31,365.0,8564.06,,,,
5113,33.97,41.877167,-87.63446,24230.88,17449.46,87173.04,277.96,24230.88,,,,
5114,84.11,41.877178,-87.63333100000001,58482.04,38376.07,226759.69,257.9,58482.04,,,,
5133,46.17,41.87294,-87.632141,137147.96,133218.11,538351.89,254.76,137147.96,,,,
5152,72.49,41.877186,-87.63104200000002,25212.22,18729.67,90138.58,279.71,25212.22,993.0,24.0,24.0,48.0
5153,59.84,41.87719,-87.629913,16452.87,13607.59,54238.02,303.35,16452.87,993.0,24.0,24.0,48.0
5160,50.42,41.87719,-87.629913,18731.22,13109.06,64306.58,291.28,18731.22,993.0,6150383.0,969866.0,7120249.0
5160,50.42,41.87719,-87.629913,18731.22,13109.06,64306.58,291.28,18731.22,994.0,6150380.0,969864.0,7120244.0
5172,83.6,41.878029,-87.632202,19804.87,15653.15,68877.34,287.54,19804.87,,,,
5178,33.98,41.877193,-87.628784,14177.45,10397.27,46214.38,306.78,14177.45,993.0,23.0,23.0,46.0
5187,54.32,41.877193,-87.628784,15228.01,11589.63,49671.04,306.58,15228.01,993.0,24.0,24.0,48.0
5277,60.48,41.878067,-87.62649499999998,12851.23,8986.05,40999.55,313.45,12851.23,,,,
5347,94.92,41.877224,-87.625366,100716.17,72631.96,398666.41,252.63,100716.17,,,,
5845,10.05,41.878006,-87.63561999999996,1291.33,126.29,2680.74,481.71,1291.33,,,,
5914,2.28,41.878853,-87.63678,203.98,40.84,134.91,1511.97,203.98,,,,
6077,141.54,41.878044,-87.629913,32259.61,25899.21,119099.21,270.86,32259.61,,,,
6213,53.63,41.877995,-87.637909,11026.66,7740.99,33456.85,329.58,11026.66,,,,
6229,63.09,41.878009999999996,-87.634491,29632.88,20143.04,109508.18,270.6,29632.88,,,,
6281,21.89,41.878052000000004,-87.628784,7128.7,1317.14,20591.53,346.2,7128.7,,,,
6291,80.27,41.878029,-87.632202,37385.98,25842.96,140929.95,265.28,37385.98,,,,
6343,70.98,41.878021000000004,-87.633362,32455.17,22723.26,120810.32,268.65,32455.17,,,,
6823,11.45,41.878871999999994,-87.633362,1369.26,45.05,1744.27,785.0,1369.26,,,,
6854,10.53,41.878871999999994,-87.633362,1304.96,41.61,1370.27,952.34,1304.96,,,,
6855,15.02,41.878899,-87.628784,613.27,41.49,579.31,1058.62,613.27,,,,
7043,166.18,41.878853,-87.63678,87481.01,64208.56,344360.91,254.04,87481.01,,,,
7192,116.57,41.878845,-87.637909,24242.25,18783.44,86599.51,279.94,24242.25,,,,
7196,11.51,41.878857,-87.63561999999996,8789.94,2056.32,28315.08,310.43,8789.94,,,,
7200,94.73,41.878052000000004,-87.628784,37245.75,27487.6,138949.92,268.05,37245.75,,,,
7207,73.76,41.878871999999994,-87.633362,,,,,,,,,
7236,88.59,41.878895,-87.631073,17713.06,13230.72,60296.52,293.77,17713.06,,,,
7239,46.56,41.878883,-87.632202,13925.85,9132.87,45468.04,306.28,13925.85,,,,
7240,9.46,41.878895,-87.631073,4733.77,967.4,14235.17,332.54,4733.77,,,,
7254,44.02,41.878899,-87.628784,12503.16,9496.0,39508.94,316.46,12503.16,,,,
7297,44.64,41.878056,-87.627625,23013.01,15485.86,82099.27,280.31,23013.01,992.0,23.0,23.0,46.0
7319,39.37,41.878067,-87.62649499999998,23317.08,16723.05,83361.25,279.71,23317.08,992.0,8640580.0,2606736.0,11247316.0
7336,49.8,41.878067,-87.625366,44880.81,33172.81,171187.34,262.17,44880.81,992.0,23.0,23.0,46.0
8063,94.58,41.87968400000001,-87.637939,15690.42,12065.0,52113.85,301.08,15690.42,,,,
8117,38.85,41.879761,-87.626526,8817.21,5585.34,24590.49,358.56,8817.21,992.0,3267812.0,847120.0,4114932.0
8330,49.71,41.879704,-87.635651,16149.75,10865.43,54489.63,296.38,16149.75,,,,
8340,10.44,41.878914,-87.626526,2207.48,44.67,2521.97,875.3,2207.48,992.0,518019.0,15902.0,533921.0
8398,34.21,41.879719,-87.633362,12264.66,7586.01,38841.21,315.76,12264.66,,,,
8402,158.01,41.879719,-87.633362,31227.26,25246.74,114271.93,273.27,31227.26,,,,
8403,117.64,41.8797,-87.63678,20834.19,17023.34,72397.38,287.78,20834.19,,,,
8440,91.13,41.879723,-87.632202,46899.25,32192.35,179723.14,260.95,46899.25,,,,
8472,60.74,41.87973,-87.631073,33495.38,22400.94,125306.64,267.31,33495.38,,,,
8487,96.6,41.879745,-87.628784,55428.54,38492.58,214475.04,258.44,55428.54,,,,
8495,3.41,41.87968400000001,-87.637939,243.94,40.42,139.96,1742.92,243.94,,,,
8547,10.02,41.878914,-87.626526,2370.62,50.17,2985.71,793.99,2370.62,992.0,560377.0,19660.0,580037.0
9170,72.33,41.8797,-87.63678,19611.73,13866.29,68363.9,286.87,19611.73,,,,
9182,120.41,41.8797,-87.63678,53458.92,38790.95,205939.86,259.59,53458.92,,,,
9193,135.97,41.879715000000004,-87.634491,113547.33,75433.94,451433.65,251.53,113547.33,,,,
9208,41.32,41.880565999999995,-87.63452099999998,6645.97,3982.9,15686.07,423.69,6645.97,,,,
9225,43.86,41.879719,-87.633362,23151.0,15104.19,83256.51,278.07,23151.0,,,,
9232,105.77,41.879723,-87.632202,,,,,,,,,
9253,33.33,41.87973,-87.631073,11382.74,6946.9,35258.34,322.84,11382.74,,,,
9256,25.97,41.879745,-87.628784,8080.56,4571.57,21696.94,372.43,8080.56,,,,
9257,96.17,41.879745,-87.628784,32499.72,23167.68,120683.73,269.3,32499.72,,,,
9259,109.45,41.879738,-87.629944,22268.01,16941.4,78638.04,283.17,22268.01,,,,
9307,58.78,41.879757,-87.627655,52694.04,34148.27,203684.76,258.7,52694.04,992.0,23.0,23.0,46.0
9321,16.03,41.878918,-87.624237,13774.75,2699.32,41400.67,332.72,13774.75,,,,
9325,67.37,41.879771999999996,-87.625366,39552.85,26561.98,149309.94,264.9,39552.85,992.0,23.0,23.0,46.0
9420,3.48,41.880581,-87.629944,275.39,40.55,189.07,1456.5,275.39,,,,
9535,6.34,41.880581,-87.63110400000002,1002.64,99.09,1996.72,502.14,1002.64,,,,
9567,4.8,41.880581,-87.629944,511.14,54.54,800.43,638.58,511.14,,,,
9601,123.25,41.880547,-87.63678,54282.21,38434.36,209583.13,259.0,54282.21,,,,
9604,36.85,41.880592,-87.628815,4692.32,2806.33,7713.67,608.31,4692.32,,,,
9608,53.99,41.880577,-87.632233,22594.9,17496.16,80476.08,280.77,22594.9,,,,
9610,95.8,41.880562,-87.635651,20057.34,15136.71,69696.39,287.78,20057.34,,,,
9620,79.75,41.880565999999995,-87.63452099999998,21586.47,15427.74,76241.89,283.13,21586.47,,,,
9623,54.18,41.880569,-87.633362,21308.63,14154.91,75559.13,282.01,21308.63,,,,
9625,62.4,41.880592,-87.628815,7953.45,5971.01,20465.59,388.63,7953.45,,,,
9655,43.73,41.880592,-87.628815,8187.78,5419.9,21747.44,376.49,8187.78,,,,
9776,106.63,41.881428,-87.63110400000002,14405.62,12015.66,46534.27,309.57,14405.62,,,,
9923,78.23,41.880615,-87.62539699999998,34513.83,23603.0,128864.61,267.83,34513.83,992.0,12819428.0,3560498.0,16379926.0
10102,125.31,41.880542999999996,-87.637939,81218.16,54278.46,318953.75,254.64,81218.16,,,,
10105,123.32,41.881393,-87.63678,37497.9,27873.98,140599.95,266.7,37497.9,,,,
10108,30.27,41.881397,-87.635651,16869.81,10622.87,57755.42,292.09,16869.81,,,,
10119,106.4,41.881397,-87.635651,14518.16,12130.47,46754.14,310.52,14518.16,,,,
10121,155.9,41.881415999999994,-87.633362,34904.08,28358.64,129451.4,269.63,34904.08,,,,
10141,129.14,41.881415999999994,-87.633362,27504.3,21696.3,99586.96,276.18,27504.3,,,,
10151,45.31,41.881428,-87.63110400000002,8987.59,6002.86,25331.57,354.8,8987.59,,,,
10153,71.72,41.881423999999996,-87.632233,23343.77,16138.29,83576.04,279.31,23343.77,,,,
10157,171.1,41.881428,-87.63110400000002,72611.49,54597.33,283570.83,256.06,72611.49,,,,
10182,38.32,41.880592,-87.628815,18216.7,11887.91,62671.56,290.67,18216.7,,,,
10183,117.11,41.881443,-87.628815,28953.65,21862.98,105737.46,273.83,28953.65,,,,
10231,50.16,41.880604,-87.627686,51789.75,33718.83,200254.52,258.62,51789.75,992.0,23.0,23.0,46.0
10250,79.17,41.881462,-87.626526,12896.09,10013.21,40985.16,314.65,12896.09,992.0,4785355.0,1563925.0,6349280.0
10279,51.39,41.880615,-87.62539699999998,30121.29,21104.69,110945.16,271.5,30121.29,992.0,23.0,23.0,46.0
10858,11.18,41.881462,-87.626526,2245.14,58.92,3192.38,703.28,2245.14,992.0,540334.0,25732.0,566066.0
10951,102.52,41.882275,-87.632263,16955.46,13332.39,56931.09,297.82,16955.46,,,,
10952,114.96,41.882286,-87.63110400000002,49690.93,35764.63,190733.77,260.53,49690.93,,,,
10953,80.56,41.88229000000001,-87.628845,33984.24,23991.92,127012.85,267.57,33984.24,,,,
10954,147.32,41.882271,-87.63452099999998,32896.9,26542.9,121372.19,271.04,32896.9,,,,
10955,60.44,41.882275,-87.632263,19759.55,13510.03,69136.61,285.8,19759.55,,,,
10957,137.72,41.882256,-87.635681,24398.27,19949.86,86718.57,281.35,24398.27,,,,
10967,148.39,41.882244,-87.63681,51001.05,39070.78,195468.37,260.92,51001.05,,,,
11140,5.01,41.88229000000001,-87.629974,304.32,41.73,280.99,1083.03,304.32,,,,
11484,11.57,41.882275,-87.633392,2144.17,64.14,3221.58,665.56,2144.17,,,,
11495,11.61,41.882275,-87.633392,,,,,,,,,
11550,145.67,41.882275,-87.633392,33594.2,26145.92,124467.94,269.9,33594.2,,,,
11581,54.52,41.882305,-87.62539699999998,26612.79,17626.49,96930.51,274.56,26612.79,992.0,23.0,23.0,46.0
11586,57.52,41.882305,-87.62539699999998,27137.02,18124.68,98999.61,274.11,27137.02,992.0,23.0,23.0,46.0
11606,64.66,41.882294,-87.627686,57765.52,38830.46,224363.03,257.46,57765.52,992.0,23.0,23.0,46.0
11608,110.35,41.88229000000001,-87.629974,27409.08,20910.2,99566.99,275.28,27409.08,,,,
11619,46.25,41.88229000000001,-87.628845,23744.18,16189.23,85582.76,277.44,23744.18,,,,
11632,76.62,41.882275,-87.632263,37601.06,26195.15,141825.49,265.12,37601.06,,,,
11634,112.93,41.882256,-87.635681,20525.32,16261.46,71381.0,287.55,20525.32,,,,
11637,54.81,41.882275,-87.633392,37462.79,27486.57,140876.45,265.93,37462.79,,,,
11640,79.5,41.882286,-87.63110400000002,12107.98,9371.2,37398.57,323.76,12107.98,,,,
11658,68.51,41.882271,-87.63452099999998,,,,,,,,,
11677,86.31,41.88224,-87.637939,53984.22,36206.87,208116.18,259.39,53984.22,,,,
11678,37.59,41.882244,-87.63681,6916.0,4285.57,16613.54,416.29,6916.0,,,,
11682,67.91,41.882244,-87.63681,21145.1,15533.49,74513.09,283.78,21145.1,,,,
11851,5.99,41.883156,-87.62655600000002,252.2,40.35,122.03,2066.75,252.2,992.0,24.0,24.0,48.0
11967,4.22,41.883133,-87.629974,281.51,40.32,148.19,1899.64,281.51,,,,
12017,2.79,41.883133,-87.629974,250.02,40.96,193.29,1293.51,250.02,,,,
12377,3.39,41.883133,-87.629974,260.05,40.33,139.38,1865.71,260.05,,,,
12571,65.67,41.883114,-87.633392,29283.26,24911.35,107374.93,272.72,29283.26,,,,
12579,3.13,41.883990999999995,-87.629974,648.08,45.36,822.41,788.03,648.08,,,,
12584,2.82,41.88398400000001,-87.631134,449.47,46.99,600.72,748.22,449.47,,,,
12593,56.73,41.883095000000004,-87.635681,29143.34,19733.74,107576.88,270.91,29143.34,,,,
12604,87.59,41.883095000000004,-87.63681,21715.48,15776.72,76629.56,283.38,21715.48,,,,
13129,177.85,41.88398400000001,-87.631134,58653.76,45019.2,226461.59,259.0,58653.76,,,,
13173,123.43,41.88395300000001,-87.635681,31826.4,24239.95,117565.58,270.71,31826.4,,,,
