id,geometry,centroid,closest
1342,"POLYGON ((-87.63384499999999 41.888408, -87.63383899999999 41.887909, -87.633554 41.887911, -87.633555 41.887963, -87.63331599999999 41.887965, -87.63331700000001 41.888037, -87.632741 41.888041, -87.632746 41.888451, -87.632893 41.88845, -87.632893 41.888479, -87.633324 41.888476, -87.633324 41.888438, -87.633483 41.888437, -87.633482 41.888345, -87.633545 41.888345, -87.633546 41.88841, -87.63384499999999 41.888408))",POINT (-87.63331059388918 41.88821367222896),POINT (-87.633453 41.888206)
6286,"POLYGON ((-87.629705 41.883289, -87.629699 41.883628, -87.62979900000001 41.883629, -87.62979900000001 41.883663, -87.630047 41.883665, -87.630053 41.883293, -87.629705 41.883289))",POINT (-87.62987919043022 41.8834727961417),POINT (-87.629974 41.883133)
2532,"POLYGON ((-87.62877400000001 41.870387, -87.628916 41.870387, -87.628916 41.870411, -87.62925 41.870409, -87.62925 41.870387, -87.62940399999999 41.870386, -87.629403 41.870251, -87.629268 41.870252, -87.629268 41.870318, -87.62891500000001 41.87032, -87.628913 41.87009, -87.629184 41.870089, -87.629183 41.869957, -87.62877 41.869959, -87.62877400000001 41.870387))",POINT (-87.62900788865514 41.87019598102528),POINT (-87.62872299999999 41.870407)
7664,"POLYGON ((-87.63087400000001 41.876802, -87.631255 41.8768, -87.631249 41.876046, -87.630869 41.876047, -87.63087400000001 41.876802))",POINT (-87.63106170935455 41.87642391660789),POINT (-87.63104200000002 41.876339)
5298,"POLYGON ((-87.629155 41.878312, -87.62872400000001 41.878315, -87.628728 41.878635, -87.62868 41.878635, -87.628685 41.879008, -87.628744 41.879008, -87.62874600000001 41.879156, -87.62836900000001 41.879159, -87.62836799999999 41.879121, -87.628417 41.879121, -87.62841400000001 41.878914, -87.62787899999999 41.878918, -87.62788500000001 41.879375, -87.62873500000001 41.879369, -87.62873399999999 41.879324, -87.62916800000001 41.879321, -87.629155 41.878312))",POINT (-87.62865360627502 41.87896109637344),POINT (-87.628784 41.878899)
9914,"POLYGON ((-87.63608499999999 41.870861, -87.63593899999999 41.870869, -87.635992 41.871376, -87.636138 41.871367, -87.63608499999999 41.870861))",POINT (-87.6360384792707 41.87111828145797),POINT (-87.635559 41.87122)
2452,"POLYGON ((-87.631761 41.872549, -87.63182399999999 41.872549, -87.63182399999999 41.872335, -87.631761 41.872335, -87.631761 41.872549))",POINT (-87.63179249999999 41.872442),POINT (-87.632141 41.872086)
9781,"POLYGON ((-87.63652999999999 41.869508, -87.636528 41.869432, -87.636399 41.869434, -87.636402 41.86951, -87.63652999999999 41.869508))",POINT (-87.63646474618768 41.86947095077269),POINT (-87.63668800000001 41.869514)
4123,"POLYGON ((-87.63666600000001 41.882603, -87.636383 41.882606, -87.636391 41.88311, -87.636674 41.883107, -87.63666600000001 41.882603))",POINT (-87.63652849999998 41.8828565),POINT (-87.63681 41.883095)
2008,"POLYGON ((-87.628139 41.866209, -87.628364 41.866209, -87.628364 41.866147, -87.628139 41.866147, -87.628139 41.866209))",POINT (-87.62825149999999 41.866178),POINT (-87.62866200000001 41.866165)
6270,"POLYGON ((-87.62960699999999 41.86667, -87.62961 41.86703, -87.629796 41.867029, -87.62979300000001 41.866669, -87.62960699999999 41.86667))",POINT (-87.62970149999998 41.86684949999999),POINT (-87.62982199999998 41.867004)
7294,"POLYGON ((-87.62451299999999 41.875813, -87.62454099999999 41.876924, -87.625176 41.876915, -87.625159 41.876247, -87.625861 41.876237, -87.62585 41.875793, -87.62451299999999 41.875813))",POINT (-87.62504665553833 41.87625859147177),POINT (-87.625336 41.876373)
4162,"POLYGON ((-87.62281 41.866346, -87.622815 41.866572, -87.623069 41.866569, -87.623057 41.865904, -87.622805 41.865907, -87.62281299999999 41.866346, -87.62281 41.866346))",POINT (-87.62293660540264 41.8662387055977),POINT (-87.622955 41.866196)
3491,"POLYGON ((-87.637443 41.887334, -87.637511 41.887394, -87.637603 41.887337, -87.637535 41.887277, -87.637443 41.887334))",POINT (-87.63752299999999 41.88733550000001),POINT (-87.63799999999999 41.887329)
1652,"POLYGON ((-87.63926600000001 41.874894, -87.639267 41.874519, -87.63898399999999 41.874518, -87.638983 41.874781, -87.63900099999999 41.874781, -87.639 41.874894, -87.63926600000001 41.874894))",POINT (-87.63912738455716 41.87470378581833),POINT (-87.63900799999998 41.874592)
2188,"POLYGON ((-87.631443 41.872058, -87.63162 41.872065, -87.63162199999999 41.872041, -87.631681 41.872043, -87.631713 41.871595, -87.631788 41.871598, -87.631793 41.871541, -87.63148200000001 41.871528, -87.631443 41.872058))",POINT (-87.63158533217023 41.87178737705364),POINT (-87.632141 41.872086)
8416,"POLYGON ((-87.628569 41.87478, -87.628176 41.874781, -87.628176 41.874781, -87.62777800000001 41.874783, -87.627781 41.875169, -87.62779399999999 41.875169, -87.627796 41.875456, -87.62818300000001 41.875454, -87.628182 41.875325, -87.628573 41.875323, -87.628569 41.87478))",POINT (-87.62815761565135 41.87508753231643),POINT (-87.62762499999999 41.875507)
7824,"POLYGON ((-87.633162 41.876328, -87.63353499999999 41.876324, -87.633527 41.875795, -87.63345099999999 41.875796, -87.63345099999999 41.875786, -87.633154 41.875788, -87.633162 41.876328))",POINT (-87.63334384529423 41.87605737549799),POINT (-87.63333100000001 41.876328)
3543,"POLYGON ((-87.628153 41.866072, -87.628354 41.86607, -87.628353 41.866011, -87.628152 41.866013, -87.628153 41.866072))",POINT (-87.628253 41.8660415),POINT (-87.62866200000001 41.866165)
3430,"POLYGON ((-87.637894 41.887635, -87.637185 41.887646, -87.637186 41.887686, -87.637242 41.887685, -87.637249 41.887911, -87.637722 41.887903, -87.63771800000001 41.887783, -87.63789800000001 41.88778, -87.637894 41.887635))",POINT (-87.6375324629832 41.88776157259798),POINT (-87.63799999999999 41.888184)
7562,"POLYGON ((-87.626356 41.881985, -87.6276 41.881974, -87.627583 41.88087, -87.626339 41.880881, -87.626356 41.881985))",POINT (-87.6269695 41.8814275),POINT (-87.626526 41.881462)
2099,"POLYGON ((-87.635485 41.883106, -87.63636 41.883107, -87.63636099999999 41.88261, -87.635486 41.882609, -87.635485 41.883106))",POINT (-87.63592299999999 41.88285799999999),POINT (-87.63568100000001 41.883095)
7489,"POLYGON ((-87.63109300000001 41.88335, -87.631103 41.884353, -87.632226 41.884347, -87.632217 41.883344, -87.63109300000001 41.88335))",POINT (-87.63165974879692 41.88384842561095),POINT (-87.631134 41.88398400000001)
2852,"POLYGON ((-87.635042 41.876934, -87.633847 41.876941, -87.633849 41.877177, -87.63401399999999 41.877176, -87.633971 41.877283, -87.633972 41.877394, -87.633956 41.877435, -87.633956 41.877474, -87.633887 41.877474, -87.633888 41.877532, -87.634002 41.877531, -87.634005 41.877748, -87.63399 41.877783, -87.633866 41.877784, -87.63386800000001 41.878031, -87.63442999999999 41.878028, -87.634429 41.87795, -87.634478 41.87795, -87.63449799999999 41.877954, -87.63449900000001 41.878025, -87.63507300000001 41.878021, -87.63507 41.877739, -87.634497 41.877742, -87.634478 41.87779, -87.634433 41.87779, -87.63442999999999 41.877518, -87.634435 41.877505, -87.634648 41.877504, -87.63464999999999 41.877674, -87.63505000000001 41.877672, -87.635042 41.876934))",POINT (-87.63447593818887 41.87746794789602),POINT (-87.63446 41.877167)
4311,"POLYGON ((-87.63007 41.865624, -87.630207 41.865624, -87.630207 41.865476, -87.63007 41.865476, -87.63007 41.865624))",POINT (-87.63013850000002 41.86555),POINT (-87.629791 41.865307)
5375,"POLYGON ((-87.62562200000001 41.866305, -87.625614 41.865836, -87.624979 41.865842, -87.624983 41.866025, -87.625224 41.866022, -87.625227 41.866177, -87.624994 41.86618, -87.624996 41.866311, -87.62562200000001 41.866305))",POINT (-87.6253304239858 41.86606877484169),POINT (-87.625244 41.86618)
6850,"POLYGON ((-87.636191 41.879901, -87.636285 41.879901, -87.636285 41.879993, -87.636596 41.879993, -87.63659699999999 41.879462, -87.636259 41.879461, -87.636259 41.879629, -87.63619199999999 41.879629, -87.636191 41.879901))",POINT (-87.63641057660928 41.87972801803947),POINT (-87.63678 41.8797)
7417,"POLYGON ((-87.62685500000001 41.872577, -87.627032 41.872576, -87.62703399999999 41.872684, -87.62737 41.872681, -87.627368 41.872563, -87.627304 41.872564, -87.627303 41.872514, -87.62735000000001 41.872514, -87.62734 41.87192, -87.62684400000001 41.871924, -87.62685500000001 41.872577))",POINT (-87.62710663020989 41.8722853944892),POINT (-87.62759399999999 41.872108)
9440,"POLYGON ((-87.628111 41.866076, -87.62811000000001 41.866018, -87.628028 41.866019, -87.62803 41.866077, -87.628111 41.866076))",POINT (-87.62806974703042 41.86604744073173),POINT (-87.627533 41.866165)
6792,"POLYGON ((-87.62814899999999 41.866417, -87.628364 41.866417, -87.628364 41.866355, -87.62814899999999 41.866355, -87.62814899999999 41.866417))",POINT (-87.62825649999999 41.86638599999999),POINT (-87.62866200000001 41.866165)
9019,"POLYGON ((-87.630213 41.866419, -87.630219 41.866925, -87.63023699999999 41.866925, -87.63024 41.867108, -87.62961 41.867112, -87.629611 41.867174, -87.63024799999999 41.867169, -87.63024799999999 41.867135, -87.63031100000001 41.867135, -87.630301 41.866418, -87.630213 41.866419))",POINT (-87.63013056287052 41.86691128276716),POINT (-87.62982199999998 41.867004)
4209,"POLYGON ((-87.627847 41.86721, -87.627847 41.867087, -87.62764199999999 41.867088, -87.62764199999999 41.867148, -87.627639 41.867148, -87.627639 41.867211, -87.627847 41.86721))",POINT (-87.62774372829446 41.8671492232851),POINT (-87.627533 41.867016)
7425,"POLYGON ((-87.623901 41.882864, -87.623644 41.882854, -87.623638 41.882938, -87.623895 41.882949, -87.623901 41.882864))",POINT (-87.62376975258078 41.88290126226497),POINT (-87.624268 41.883167)
9162,"POLYGON ((-87.626074 41.884611, -87.62540799999999 41.884614, -87.625412 41.885053, -87.625581 41.885053, -87.625581 41.885079, -87.62607800000001 41.885076, -87.626074 41.884611))",POINT (-87.62574655815885 41.88484200282369),POINT (-87.625427 41.884861)
4349,"POLYGON ((-87.62390600000001 41.865901, -87.623287 41.865911, -87.623293 41.866144, -87.623231 41.866145, -87.62324 41.866445, -87.623237 41.866445, -87.62324099999999 41.866586, -87.623938 41.866576, -87.62392699999999 41.866169, -87.623767 41.866171, -87.623766 41.866135, -87.623912 41.866133, -87.62390600000001 41.865901))",POINT (-87.62358596354099 41.86625366861698),POINT (-87.624084 41.866192)
9967,"POLYGON ((-87.63219599999999 41.881349, -87.63150400000001 41.881353, -87.631506 41.881584, -87.63189 41.881582, -87.63189 41.881633, -87.63150899999999 41.881635, -87.631512 41.88188, -87.63220099999999 41.881876, -87.63219599999999 41.881349))",POINT (-87.63186188789263 41.88161455803424),POINT (-87.632233 41.881424)
9216,"POLYGON ((-87.628471 41.870203, -87.62806399999999 41.870204, -87.62806399999999 41.8704, -87.628472 41.8704, -87.628471 41.870203))",POINT (-87.62826792312944 41.87030178986937),POINT (-87.62872299999999 41.870407)
5429,"POLYGON ((-87.629102 41.867723, -87.629356 41.867723, -87.629356 41.867663, -87.629102 41.867663, -87.629102 41.867723))",POINT (-87.62922900000002 41.867693),POINT (-87.62866200000001 41.867863)
5115,"POLYGON ((-87.62379300000001 41.887313, -87.623334 41.887315, -87.623341 41.888068, -87.6238 41.888066, -87.62379300000001 41.887313))",POINT (-87.62356700000001 41.8876905),POINT (-87.62316899999998 41.887421)
8726,"POLYGON ((-87.62426499999999 41.885604, -87.624259 41.884839, -87.624008 41.88484, -87.624014 41.885605, -87.62426499999999 41.885604))",POINT (-87.62413649999998 41.885222),POINT (-87.624298 41.88486500000001)
1464,"POLYGON ((-87.628995 41.880816, -87.628996 41.880885, -87.628788 41.880887, -87.62879599999999 41.881293, -87.62896000000001 41.881291, -87.62895899999999 41.881207, -87.629003 41.881207, -87.62900500000001 41.881301, -87.629217 41.881299, -87.62920800000001 41.880814, -87.628995 41.880816))",POINT (-87.62901216958278 41.88106796501824),POINT (-87.628815 41.881443)
2815,"POLYGON ((-87.630233 41.866337, -87.630233 41.866185, -87.630094 41.866185, -87.630094 41.866337, -87.630233 41.866337))",POINT (-87.63016349999998 41.866261),POINT (-87.62982199999998 41.866158)
2254,"POLYGON ((-87.628683 41.868292, -87.628683 41.86835, -87.62897599999999 41.86835, -87.62897599999999 41.868292, -87.628683 41.868292))",POINT (-87.62882949999998 41.86832099999999),POINT (-87.628693 41.86871)
1136,"POLYGON ((-87.63002400000001 41.868948, -87.63002400000001 41.869052, -87.63015 41.869052, -87.63015 41.868948, -87.63002400000001 41.868948))",POINT (-87.630087 41.869),POINT (-87.62982199999998 41.86871)
6193,"POLYGON ((-87.62363499999999 41.882508, -87.623893 41.882508, -87.623893 41.882422, -87.62363499999999 41.882422, -87.62363499999999 41.882508))",POINT (-87.62376399999999 41.882465),POINT (-87.624268 41.882324)
6051,"POLYGON ((-87.62958999999999 41.883118, -87.630758 41.883104, -87.630748 41.882606, -87.630306 41.882611, -87.63030500000001 41.882559, -87.63074 41.882553, -87.63073 41.882097, -87.630397 41.882101, -87.630398 41.882146, -87.63034500000001 41.882147, -87.630346 41.882186, -87.630292 41.882186, -87.63029299999999 41.882232, -87.630234 41.882233, -87.630235 41.882271, -87.62996099999999 41.882274, -87.62996 41.882239, -87.629915 41.88224, -87.629913 41.882153, -87.629791 41.882154, -87.62979 41.882106, -87.629569 41.882109, -87.62958999999999 41.883118))",POINT (-87.63015784669355 41.88263753451925),POINT (-87.629974 41.88229000000001)
3940,"POLYGON ((-87.628726 41.871518, -87.62872 41.872174, -87.62888700000001 41.872175, -87.62888700000001 41.872135, -87.62924599999999 41.872137, -87.62924599999999 41.872119, -87.629499 41.87212, -87.629504 41.871639, -87.62930799999999 41.871638, -87.62930900000001 41.871524, -87.629075 41.871522, -87.629074 41.871644, -87.62888100000001 41.871643, -87.628882 41.871519, -87.628726 41.871518))",POINT (-87.62909693064205 41.87185704663245),POINT (-87.62872299999999 41.872105)
7001,"POLYGON ((-87.62952799999999 41.873098, -87.62952799999999 41.872619, -87.62929699999999 41.872619, -87.62929699999999 41.873098, -87.62952799999999 41.873098))",POINT (-87.6294125 41.8728585),POINT (-87.62988299999998 41.87295200000001)
5963,"POLYGON ((-87.62908 41.868177, -87.62908 41.868235, -87.629372 41.868235, -87.629372 41.868177, -87.62908 41.868177))",POINT (-87.629226 41.868206),POINT (-87.62866200000001 41.867863)
6527,"POLYGON ((-87.623019 41.865257, -87.623019 41.864821, -87.62277400000001 41.864821, -87.622773 41.865257, -87.623019 41.865257))",POINT (-87.62289624983028 41.86503914799728),POINT (-87.622955 41.86535300000001)
6128,"POLYGON ((-87.62317299999999 41.865333, -87.62338 41.865331, -87.623375 41.865003, -87.623345 41.865003, -87.623334 41.864261, -87.62315700000001 41.864263, -87.62317299999999 41.865333))",POINT (-87.62325886747206 41.86481533644681),POINT (-87.622955 41.864498)
7414,"POLYGON ((-87.628749 41.865314, -87.62875 41.865426, -87.62879 41.865426, -87.62879 41.865468, -87.628872 41.865468, -87.628872 41.865452, -87.628989 41.865451, -87.62898800000001 41.865309, -87.628872 41.86531, -87.628872 41.865314, -87.628749 41.865314))",POINT (-87.62887146943065 41.86538303952137),POINT (-87.62866200000001 41.865322)
7778,"POLYGON ((-87.628956 41.868365, -87.628669 41.868367, -87.62867 41.868525, -87.628957 41.868523, -87.628956 41.868365))",POINT (-87.62881300000002 41.868445),POINT (-87.628693 41.86871)
4217,"POLYGON ((-87.62254799999999 41.886784, -87.62255399999999 41.887126, -87.623559 41.887117, -87.623554 41.886775, -87.62254799999999 41.886784))",POINT (-87.62305374735158 41.8869504716796),POINT (-87.62316899999998 41.886574)
4408,"POLYGON ((-87.63084000000001 41.88587, -87.62818799999999 41.885879, -87.628193 41.886705, -87.62836799999999 41.886705, -87.628426 41.886681, -87.628426 41.886611, -87.628626 41.88661, -87.628626 41.886532, -87.628812 41.886531, -87.62881299999999 41.886705, -87.629351 41.886703, -87.629346 41.885922, -87.62969200000001 41.885921, -87.629694 41.886209, -87.629841 41.886208, -87.629842 41.88627, -87.63010800000001 41.886269, -87.630106 41.885921, -87.630315 41.88592, -87.630318 41.886292, -87.630112 41.886395, -87.630111 41.886316, -87.629671 41.886318, -87.62967399999999 41.886714, -87.63011299999999 41.886713, -87.63011299999999 41.886713, -87.630792 41.88671, -87.63084499999999 41.886689, -87.63084000000001 41.88587))",POINT (-87.62950803309604 41.88628698687753),POINT (-87.63000500000003 41.886532)
4387,"POLYGON ((-87.63092899999999 41.878735, -87.632093 41.878726, -87.632087 41.878235, -87.630923 41.878243, -87.63092899999999 41.878735))",POINT (-87.6315078026678 41.87848475187055),POINT (-87.631073 41.878895)
4129,"POLYGON ((-87.637221 41.879478, -87.637226 41.879839, -87.63771199999999 41.879835, -87.63770700000001 41.879474, -87.637221 41.879478))",POINT (-87.6374665 41.8796565),POINT (-87.637939 41.87968400000001)
6624,"POLYGON ((-87.64062300000001 41.870651, -87.639668 41.870657, -87.639675 41.871236, -87.640629 41.87123, -87.64062300000001 41.870651))",POINT (-87.64014874856905 41.87094344945898),POINT (-87.640106 41.871189)
1314,"POLYGON ((-87.626823 41.870635, -87.62683699999999 41.871732, -87.627341 41.871728, -87.62732699999999 41.870632, -87.626823 41.870635))",POINT (-87.62708196172926 41.87118175258058),POINT (-87.62756299999999 41.871262)
7983,"POLYGON ((-87.631828 41.876761, -87.631884 41.87676, -87.631885 41.87678, -87.632603 41.876773, -87.632582 41.875543, -87.63263499999999 41.875543, -87.632634 41.875462, -87.632569 41.875463, -87.63256699999999 41.875312, -87.632311 41.875314, -87.63230799999999 41.875186, -87.632256 41.875187, -87.63221299999999 41.872764, -87.632077 41.872765, -87.632077 41.872766, -87.6319 41.872768, -87.631922 41.874018, -87.631753 41.87402, -87.631778 41.875442, -87.631805 41.875442, -87.631828 41.876761))",POINT (-87.63212158113589 41.87516116884794),POINT (-87.632172 41.875484)
5515,"POLYGON ((-87.62867199999999 41.865632, -87.62867199999999 41.865482, -87.628573 41.865482, -87.628573 41.865632, -87.62867199999999 41.865632))",POINT (-87.62862249999999 41.865557),POINT (-87.62866200000001 41.865322)
8144,"POLYGON ((-87.63717200000001 41.887646, -87.637097 41.887646, -87.637097 41.887728, -87.63717200000001 41.887728, -87.63717200000001 41.887646))",POINT (-87.6371345 41.88768699999999),POINT (-87.636841 41.887337)
5214,"POLYGON ((-87.63590499999999 41.884583, -87.63590499999999 41.884986, -87.635837 41.884986, -87.635837 41.884801, -87.635537 41.884801, -87.635536 41.885076, -87.635837 41.885076, -87.635837 41.885018, -87.635908 41.885018, -87.635908 41.885072, -87.63625500000001 41.885072, -87.63625500000001 41.884965, -87.636709 41.884966, -87.636709 41.884583, -87.63590499999999 41.884583))",POINT (-87.6361659286121 41.88482814367811),POINT (-87.63568100000001 41.8848)
3627,"POLYGON ((-87.637137 41.885604, -87.637377 41.885613, -87.637445 41.884585, -87.63720499999999 41.884576, -87.637137 41.885604))",POINT (-87.637291 41.88509450000001),POINT (-87.636841 41.8848)
3052,"POLYGON ((-87.638194 41.870746, -87.63812900000001 41.870199, -87.63817400000001 41.870196, -87.638166 41.870124, -87.63811 41.870128, -87.638097 41.870015, -87.638001 41.870021, -87.638088 41.870753, -87.638194 41.870746))",POINT (-87.63809938315016 41.87037905575309),POINT (-87.637817 41.870365)
6198,"POLYGON ((-87.634359 41.870758, -87.63435 41.870772, -87.63436799999999 41.871018, -87.63444 41.871044, -87.634514 41.871187, -87.634516 41.871214, -87.634158 41.871315, -87.633895 41.871733, -87.63388999999999 41.871734, -87.633842 41.871718, -87.63378299999999 41.871603, -87.633725 41.871619, -87.633673 41.871702, -87.633692 41.872079, -87.634541 41.872045, -87.634562 41.872013, -87.634614 41.87201, -87.63459400000001 41.871727, -87.634688 41.8717, -87.634727 41.871698, -87.63472 41.871603, -87.634551 41.871609, -87.63454400000001 41.871517, -87.634811 41.871441, -87.63495899999999 41.871206, -87.63494799999999 41.871048, -87.634845 41.870848, -87.63456600000001 41.87075, -87.634359 41.870758))",POINT (-87.63436518411615 41.8715056032502),POINT (-87.634399 41.871223)
6956,"POLYGON ((-87.629024 41.873575, -87.629003 41.872542, -87.628737 41.872545, -87.628758 41.873578, -87.629024 41.873575))",POINT (-87.62888049999999 41.87306),POINT (-87.62872299999999 41.872955)
6046,"POLYGON ((-87.628192 41.872419, -87.628221 41.873986, -87.62858300000001 41.873982, -87.62855399999999 41.872415, -87.628192 41.872419))",POINT (-87.62838749999999 41.8732005),POINT (-87.62872299999999 41.872955)
2391,"POLYGON ((-87.631593 41.873741, -87.631218 41.873743, -87.631227 41.874428, -87.631603 41.874426, -87.631593 41.873741))",POINT (-87.63141025235143 41.874084652007),POINT (-87.631012 41.873795)
7738,"POLYGON ((-87.625249 41.87836, -87.62525599999999 41.878627, -87.625917 41.878618, -87.62591 41.87835, -87.625249 41.87836))",POINT (-87.6255832058185 41.87848874615945),POINT (-87.625366 41.878067)
8217,"POLYGON ((-87.626019 41.867595, -87.626025 41.867864, -87.62639 41.867859, -87.626383 41.86759, -87.626019 41.867595))",POINT (-87.62620425303399 41.86772706145815),POINT (-87.62640400000002 41.86787)
3296,"POLYGON ((-87.631922 41.87133, -87.631933 41.870893, -87.63149300000001 41.870887, -87.631491 41.870959, -87.631427 41.870958, -87.63142499999999 41.871024, -87.631535 41.871026, -87.63152599999999 41.871421, -87.631719 41.871423, -87.631721 41.871328, -87.631922 41.87133))",POINT (-87.63170804310099 41.8711259810167),POINT (-87.632141 41.871239)
1734,"POLYGON ((-87.631867 41.87277, -87.631821 41.87277, -87.631821 41.873184, -87.631867 41.873184, -87.631867 41.87277))",POINT (-87.631844 41.87297700000001),POINT (-87.632141 41.87294)
3874,"POLYGON ((-87.62815999999999 41.86703, -87.628377 41.86703, -87.628377 41.866902, -87.62815999999999 41.866902, -87.62815999999999 41.86703))",POINT (-87.62826849999999 41.86696600000001),POINT (-87.62866200000001 41.867012)
3679,"POLYGON ((-87.637506 41.887163, -87.63749 41.887143, -87.63731199999999 41.887225, -87.63732899999999 41.887246, -87.637506 41.887163))",POINT (-87.63740847973334 41.88719460613333),POINT (-87.636841 41.887337)
9269,"POLYGON ((-87.629908 41.865858, -87.630089 41.865856, -87.630087 41.8658, -87.63005800000001 41.865801, -87.630054 41.865663, -87.629987 41.865664, -87.629985 41.865606, -87.629874 41.865607, -87.629876 41.865667, -87.629903 41.865667, -87.629908 41.865858))",POINT (-87.62997628684079 41.8657418657898),POINT (-87.62982199999998 41.866158)
2777,"POLYGON ((-87.628112 41.866573, -87.628045 41.866573, -87.628045 41.866683, -87.628112 41.866683, -87.628112 41.866573))",POINT (-87.6280785 41.86662800000001),POINT (-87.627533 41.867016)
9505,"POLYGON ((-87.62849799999999 41.879068, -87.62849799999999 41.879119, -87.62870700000001 41.879119, -87.62870700000001 41.879068, -87.62849799999999 41.879068))",POINT (-87.6286025 41.8790935),POINT (-87.628784 41.878899)
9622,"POLYGON ((-87.62895399999999 41.867567, -87.628664 41.867567, -87.628664 41.867619, -87.62895399999999 41.867619, -87.62895399999999 41.867567))",POINT (-87.62880900000002 41.867593),POINT (-87.62866200000001 41.867863)
2612,"POLYGON ((-87.62839099999999 41.86778, -87.62764900000001 41.867787, -87.627652 41.867956, -87.62816100000001 41.867952, -87.628167 41.868337, -87.6284 41.868335, -87.62839099999999 41.86778))",POINT (-87.62812944183167 41.86798281896084),POINT (-87.62866200000001 41.867863)
9427,"POLYGON ((-87.635267 41.885922, -87.635002 41.885924, -87.635001 41.885887, -87.634936 41.885888, -87.63493699999999 41.885923, -87.634855 41.885924, -87.634866 41.886607, -87.63489199999999 41.886607, -87.634894 41.886713, -87.63527999999999 41.886709, -87.635267 41.885922))",POINT (-87.63506820695991 41.88631130547364),POINT (-87.63458299999998 41.886509)
1972,"POLYGON ((-87.626 41.881741, -87.62535699999999 41.881744, -87.62535699999999 41.881842, -87.62536 41.881842, -87.625361 41.881998, -87.626002 41.881995, -87.626 41.881741))",POINT (-87.62568007078877 41.88186938907663),POINT (-87.62539699999998 41.881466)
